status,content_class,sitemap,source_url,resolved_url,canonical_url,wordpress_id,last_modified,title,text_chars,headings,images,embeds,downloads,internal_links,external_links,warnings,error
200,taxonomy_archive,author-sitemap,https://www.ccf.org.ph/author/administrator/,https://www.ccf.org.ph/author/administrator/,https://www.ccf.org.ph/author/administrator/,,2025-07-29T07:59:30+00:00,"Christ's Commission Fellowship, Author at Christ's Commission Fellowship",3662,10,10,0,0,14,0,,
200,taxonomy_archive,category-sitemap,https://www.ccf.org.ph/category/blog/,https://www.ccf.org.ph/category/blog/,https://www.ccf.org.ph/category/blog/,,2026-05-23T09:17:06+00:00,Blog Archives - Christ's Commission Fellowship,3662,10,10,0,0,14,0,,
200,page,link-discovery,https://www.ccf.org.ph/4ws-god-is-forgiving-choose-forgiveness,https://www.ccf.org.ph/4ws-god-is-forgiving-choose-forgiveness/,https://www.ccf.org.ph/4ws-god-is-forgiving-choose-forgiveness/,38679,,4Ws God is Forgiving: Choose Forgiveness - Christ's Commission Fellowship,8452,0,11,0,0,1,0,,
200,page,link-discovery,https://www.ccf.org.ph/4ws-god-is-forgiving-choose-forgiveness-goviral-edition,https://www.ccf.org.ph/4ws-god-is-forgiving-choose-forgiveness-goviral-edition/,https://www.ccf.org.ph/4ws-god-is-forgiving-choose-forgiveness-goviral-edition/,38688,,4Ws God is Forgiving: Choose Forgiveness (GoViral Edition) - Christ's Commission Fellowship,3621,0,10,0,0,1,0,,
200,page,link-discovery,https://www.ccf.org.ph/accept-jesus,https://www.ccf.org.ph/accept-jesus/,https://www.ccf.org.ph/accept-jesus/,18326,,Button Response - Accept Jesus - Christ's Commission Fellowship,77,1,0,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/articles/page/1/,https://www.ccf.org.ph/articles/,https://www.ccf.org.ph/articles/,11954,,Articles - Christ's Commission Fellowship,2401,8,11,0,0,12,0,,
200,page,link-discovery,https://www.ccf.org.ph/articles/page/2/,https://www.ccf.org.ph/articles/page/2/,https://www.ccf.org.ph/articles/,11954,,Articles - Christ's Commission Fellowship,2400,8,11,0,0,12,0,,
200,page,link-discovery,https://www.ccf.org.ph/articles/page/3/,https://www.ccf.org.ph/articles/page/3/,https://www.ccf.org.ph/articles/,11954,,Articles - Christ's Commission Fellowship,2338,8,11,0,0,12,0,,
200,page,link-discovery,https://www.ccf.org.ph/articles/page/4/,https://www.ccf.org.ph/articles/page/4/,https://www.ccf.org.ph/articles/,11954,,Articles - Christ's Commission Fellowship,1655,8,3,0,0,4,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/author/4ws-content-editor/,https://www.ccf.org.ph/author/4ws-content-editor/,,,,"4Ws Content Editor, Author at Christ's Commission Fellowship",20,0,0,0,0,0,0,canonical_missing,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/author/admin/,https://www.ccf.org.ph/author/admin/,,,,"admin, Author at Christ's Commission Fellowship",20,0,0,0,0,0,0,canonical_missing,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/author/administrator/page/2/,https://www.ccf.org.ph/author/administrator/page/2/,https://www.ccf.org.ph/author/administrator/page/2/,,,"Christ's Commission Fellowship, Author at Christ's Commission Fellowship - Page 2 of 3",3704,10,10,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/author/administrator/page/3/,https://www.ccf.org.ph/author/administrator/page/3/,https://www.ccf.org.ph/author/administrator/page/3/,,,"Christ's Commission Fellowship, Author at Christ's Commission Fellowship - Page 3 of 3",2897,8,8,0,0,12,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/author/daniel-cabero/,https://www.ccf.org.ph/author/daniel-cabero/,,,,"Daniel Asher Cabero, Author at Christ's Commission Fellowship",20,0,0,0,0,0,0,canonical_missing,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/author/janet-macabontoc/,https://www.ccf.org.ph/author/janet-macabontoc/,,,,"Janet Macabontoc, Author at Christ's Commission Fellowship",20,0,0,0,0,0,0,canonical_missing,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/author/ricky-jano/,https://www.ccf.org.ph/author/ricky-jano/,,,,"Ricky John Jano, Author at Christ's Commission Fellowship",20,0,0,0,0,0,0,canonical_missing,
200,page,link-discovery,https://www.ccf.org.ph/be-prayed-for,https://www.ccf.org.ph/be-prayed-for/,https://www.ccf.org.ph/be-prayed-for/,18338,,Button Response - Be prayed for - Christ's Commission Fellowship,77,1,0,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/beyond/stories-and-articles,https://www.ccfbeyond.org/,https://www.ccfbeyond.org/,,,CCF Beyond (Discipling the Nations),1662,8,10,0,0,0,10,,
200,page,link-discovery,https://www.ccf.org.ph/bulletin/position-on-healing,https://www.ccf.org.ph/our-position/position-on-healing/,https://www.ccf.org.ph/our-position/position-on-healing/,22886,,Position on Healing - Christ's Commission Fellowship,41549,7,0,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/bulletin/position-on-theological-systems,https://www.ccf.org.ph/our-position/position-on-theological-systems/,https://www.ccf.org.ph/our-position/position-on-theological-systems/,23136,,position on theological systems - Christ's Commission Fellowship,38170,41,1,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/bulletin/sogie-bill/,https://www.ccf.org.ph/our-position/sogie-bill/,https://www.ccf.org.ph/our-position/sogie-bill/,15750,,position on sogie bill and lgbtq - Christ's Commission Fellowship,3499,1,0,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/button-response-first-time-guest,https://www.ccf.org.ph/button-response-first-time-guest/,https://www.ccf.org.ph/button-response-first-time-guest/,22845,,Button Response - First Time Guest - Christ's Commission Fellowship,89,1,0,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/careers,https://www.ccf.org.ph/careers/,https://www.ccf.org.ph/careers/,18665,,Careers - Christ's Commission Fellowship,32728,1,1,0,0,0,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/category/blog/page/2/,https://www.ccf.org.ph/category/blog/page/2/,https://www.ccf.org.ph/category/blog/page/2/,,,Blog Archives - Page 2 of 3 - Christ's Commission Fellowship,3704,10,10,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/category/blog/page/3/,https://www.ccf.org.ph/category/blog/page/3/,https://www.ccf.org.ph/category/blog/page/3/,,,Blog Archives - Page 3 of 3 - Christ's Commission Fellowship,2897,8,8,0,0,12,0,,
404,page,link-discovery,https://www.ccf.org.ph/commitment-card/,https://www.ccf.org.ph/commitment-card/,,,,Page not found - Christ's Commission Fellowship,251,1,0,0,0,1,0,http_404,
0,unknown,link-discovery,https://www.ccf.org.ph/discipleship-journey,,,,,,0,0,0,0,0,0,0,fetch_failed; http_0,TooManyRedirects: Exceeded 30 redirects.
404,page,link-discovery,https://www.ccf.org.ph/discipleship-journey-2024/,https://www.ccf.org.ph/discipleship-journey-2024/,,,,Page not found - Christ's Commission Fellowship,251,1,0,0,0,1,0,http_404,
404,page,link-discovery,https://www.ccf.org.ph/discipleship-journey-faqs/,https://www.ccf.org.ph/discipleship-journey-faqs/,,,,Page not found - Christ's Commission Fellowship,251,1,0,0,0,1,0,http_404,
404,page,link-discovery,https://www.ccf.org.ph/discipleship-journey-test/,https://www.ccf.org.ph/discipleship-journey-test/,,,,Page not found - Christ's Commission Fellowship,251,1,0,0,0,1,0,http_404,
200,page,link-discovery,https://www.ccf.org.ph/discipleshipgroup/,https://www.ccf.org.ph/dgroup/,https://www.ccf.org.ph/dgroup/,18539,,Dgroup - Christ's Commission Fellowship,1662,7,2,0,0,0,1,,
200,page,link-discovery,https://www.ccf.org.ph/dleaders-corner/faqs,https://www.ccf.org.ph/dleaders-corner/faqs/,https://www.ccf.org.ph/dleaders-corner/faqs/,23335,,Dleaders FAQs - Christ's Commission Fellowship,24224,70,2,0,0,1,3,,
200,page,link-discovery,https://www.ccf.org.ph/give,https://give-form.ccf.org.ph/,,,,"CCF Give - Give via Bank, Bills Payment, Debit, or Credit Card",0,0,0,0,0,0,0,server_html_empty; canonical_missing; client_rendered_giving_handoff; see giving-dynamic.json,
200,page,link-discovery,https://www.ccf.org.ph/give-transaction-response,https://www.ccf.org.ph/give-transaction-response/,https://www.ccf.org.ph/give-transaction-response/,23926,,Give Transaction Response - Christ's Commission Fellowship,480,0,1,0,0,2,0,,
200,page,link-discovery,https://www.ccf.org.ph/know-more-about-jesus,https://www.ccf.org.ph/know-more-about-jesus/,https://www.ccf.org.ph/know-more-about-jesus/,17475,,Button Response - Know More About Jesus - Christ's Commission Fellowship,78,1,0,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/live/broadcast-channels,https://www.ccf.org.ph/live/broadcast-channels/,https://www.ccf.org.ph/live/broadcast-channels/,25460,,Broadcast Channels - Christ's Commission Fellowship,1154,0,5,0,0,0,5,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ae/page/2/,https://www.ccf.org.ph/location-categories/ae/page/2/,https://www.ccf.org.ph/location-categories/ae/page/2/,102,,UAE_ Archives - Page 2 of 2 - Christ's Commission Fellowship,407,5,0,0,0,8,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ca/page/2/,https://www.ccf.org.ph/location-categories/ca/page/2/,https://www.ccf.org.ph/location-categories/ca/page/2/,98,,Canada_ Archives - Page 2 of 2 - Christ's Commission Fellowship,106,1,0,0,0,4,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-luzon/page/2/,https://www.ccf.org.ph/location-categories/ph-luzon/page/2/,https://www.ccf.org.ph/location-categories/ph-luzon/page/2/,91,,Philippines_Luzon Archives - Page 2 of 4 - Christ's Commission Fellowship,329,10,0,0,0,14,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-luzon/page/3/,https://www.ccf.org.ph/location-categories/ph-luzon/page/3/,https://www.ccf.org.ph/location-categories/ph-luzon/page/3/,91,,Philippines_Luzon Archives - Page 3 of 4 - Christ's Commission Fellowship,315,10,0,0,0,14,0,,
